PC,Explained Variance,Cumulative Variance
PC1,0.1882241647237499,0.1882241647237499
PC2,0.18580893105506513,0.37403309577881505
PC3,0.07867516452106904,0.4527082602998841
PC4,0.05330108765380649,0.5060093479536906
PC5,0.04905297780643913,0.5550623257601297
PC6,0.04392213029533467,0.5989844560554644
PC7,0.03220895526720672,0.631193411322671
PC8,0.02694670323686895,0.65814011455954
PC9,0.023404919544848697,0.6815450341043887
PC10,0.020076109867162215,0.701621143971551
PC11,0.01883655980546512,0.7204577037770161
PC12,0.01688213258683408,0.7373398363638503
PC13,0.016707447624539018,0.7540472839883893
PC14,0.01630835598092136,0.7703556399693107
PC15,0.015835214319952162,0.7861908542892628
PC16,0.015637747187619937,0.8018286014768827
PC17,0.015053527486558858,0.8168821289634416
PC18,0.01468988520791605,0.8315720141713576
PC19,0.013934230749933435,0.845506244921291
PC20,0.012835258804552779,0.8583415037258438
PC21,0.011240280844434201,0.869581784570278
PC22,0.010836627015689897,0.8804184115859679
PC23,0.00998999734863226,0.8904084089346002
PC24,0.00974875907947786,0.900157168014078
PC25,0.009541331847244571,0.9096984998613226
PC26,0.008617862898884596,0.9183163627602071
PC27,0.007776717936412398,0.9260930806966196
PC28,0.007701773367582471,0.933794854064202
PC29,0.007236286913617714,0.9410311409778197
PC30,0.0066124989323186065,0.9476436399101383
PC31,0.006228630525514331,0.9538722704356527
PC32,0.00560368353413139,0.9594759539697841
PC33,0.004637357442338305,0.9641133114121224
PC34,0.004385728294860432,0.9684990397069828
PC35,0.004087540265553351,0.9725865799725362
PC36,0.003193388913543723,0.9757799688860799
PC37,0.0030046733587634137,0.9787846422448433
PC38,0.0027768889320440087,0.9815615311768873
PC39,0.0027132441844830435,0.9842747753613703
PC40,0.002275967137111938,0.9865507424984823
PC41,0.0020008975170016175,0.9885516400154839
PC42,0.0018193324512383866,0.9903709724667222
PC43,0.0017033192403688878,0.9920742917070912
PC44,0.0015985694866869158,0.9936728611937781
PC45,0.0014551298780805532,0.9951279910718587
PC46,0.0012114315754774053,0.9963394226473361
PC47,0.001017895956612166,0.9973573186039483
PC48,0.0008565600452616306,0.9982138786492099
PC49,0.0005124680196730788,0.9987263466688829
PC50,0.0004327957690791028,0.999159142437962
PC51,0.00035039394150137383,0.9995095363794634
PC52,0.00034494358167395256,0.9998544799611373
PC53,7.607426161827756e-05,0.9999305542227556
PC54,6.944577724424972e-05,0.9999999999999998
PC55,1.6173565201625755e-17,0.9999999999999998
PC56,8.6908031033139e-18,0.9999999999999998
PC57,7.806071537966102e-18,0.9999999999999998
PC58,7.773667515460016e-18,0.9999999999999998
PC59,6.155693071461431e-18,0.9999999999999998
PC60,4.1729412424438417e-19,0.9999999999999998
PC61,0.0,0.9999999999999998
PC62,0.0,0.9999999999999998
PC63,0.0,0.9999999999999998
PC64,0.0,0.9999999999999998
PC65,0.0,0.9999999999999998
