=== BẢNG PHƯƠNG SAI GIẢI THÍCH CỦA CÁC THÀNH PHẦN CHÍNH (PCA) ===
  PC  Explained Variance  Cumulative Variance
 PC1        1.882242e-01             0.188224
 PC2        1.858089e-01             0.374033
 PC3        7.867516e-02             0.452708
 PC4        5.330109e-02             0.506009
 PC5        4.905298e-02             0.555062
 PC6        4.392213e-02             0.598984
 PC7        3.220896e-02             0.631193
 PC8        2.694670e-02             0.658140
 PC9        2.340492e-02             0.681545
PC10        2.007611e-02             0.701621
PC11        1.883656e-02             0.720458
PC12        1.688213e-02             0.737340
PC13        1.670745e-02             0.754047
PC14        1.630836e-02             0.770356
PC15        1.583521e-02             0.786191
PC16        1.563775e-02             0.801829
PC17        1.505353e-02             0.816882
PC18        1.468989e-02             0.831572
PC19        1.393423e-02             0.845506
PC20        1.283526e-02             0.858342
PC21        1.124028e-02             0.869582
PC22        1.083663e-02             0.880418
PC23        9.989997e-03             0.890408
PC24        9.748759e-03             0.900157
PC25        9.541332e-03             0.909698
PC26        8.617863e-03             0.918316
PC27        7.776718e-03             0.926093
PC28        7.701773e-03             0.933795
PC29        7.236287e-03             0.941031
PC30        6.612499e-03             0.947644
PC31        6.228631e-03             0.953872
PC32        5.603684e-03             0.959476
PC33        4.637357e-03             0.964113
PC34        4.385728e-03             0.968499
PC35        4.087540e-03             0.972587
PC36        3.193389e-03             0.975780
PC37        3.004673e-03             0.978785
PC38        2.776889e-03             0.981562
PC39        2.713244e-03             0.984275
PC40        2.275967e-03             0.986551
PC41        2.000898e-03             0.988552
PC42        1.819332e-03             0.990371
PC43        1.703319e-03             0.992074
PC44        1.598569e-03             0.993673
PC45        1.455130e-03             0.995128
PC46        1.211432e-03             0.996339
PC47        1.017896e-03             0.997357
PC48        8.565600e-04             0.998214
PC49        5.124680e-04             0.998726
PC50        4.327958e-04             0.999159
PC51        3.503939e-04             0.999510
PC52        3.449436e-04             0.999854
PC53        7.607426e-05             0.999931
PC54        6.944578e-05             1.000000
PC55        1.617357e-17             1.000000
PC56        8.690803e-18             1.000000
PC57        7.806072e-18             1.000000
PC58        7.773668e-18             1.000000
PC59        6.155693e-18             1.000000
PC60        4.172941e-19             1.000000
PC61        0.000000e+00             1.000000
PC62        0.000000e+00             1.000000
PC63        0.000000e+00             1.000000
PC64        0.000000e+00             1.000000
PC65        0.000000e+00             1.000000
